Job_Description,CV_Text,Label
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 62 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2472, Address: Tel Aviv, Search Radius: 22km, Skills: SAP, Java, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",1
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 74 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4584, Address: Tel Aviv, Search Radius: 6km, Skills: Excel, SAP, Soft Skills: Team player, Fast learner. Looking for אבטחה וביטחון job.",1
"Job Category: בעלי חיים, Company: TechCorp, Salary: 76 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7686, Address: Tel Aviv, Search Radius: 17km, Skills: Driving License, English, Soft Skills: Team player, Fast learner. Looking for אחזקה job.",0
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 75 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3809, Address: Tel Aviv, Search Radius: 9km, Skills: SAP, Driving License, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",1
"Job Category: אחזקה, Company: TechCorp, Salary: 54 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2529, Address: Tel Aviv, Search Radius: 6km, Skills: SAP, Java, Soft Skills: Team player, Fast learner. Looking for הפקה ואירועים job.",0
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 57 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7766, Address: Tel Aviv, Search Radius: 22km, Skills: Java, Driving License, Soft Skills: Team player, Fast learner. Looking for רפואה ורווחה job.",1
"Job Category: מכירות ואופנה, Company: TechCorp, Salary: 39 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3978, Address: Tel Aviv, Search Radius: 15km, Skills: Java, SAP, Soft Skills: Team player, Fast learner. Looking for מכירות ואופנה job.",1
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 43 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8005, Address: Tel Aviv, Search Radius: 5km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",1
"Job Category: שירות לקוחות, Company: TechCorp, Salary: 73 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7892, Address: Tel Aviv, Search Radius: 26km, Skills: Python, Java, Soft Skills: Team player, Fast learner. Looking for אחזקה job.",0
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 47 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3069, Address: Tel Aviv, Search Radius: 22km, Skills: Driving License, Java, Soft Skills: Team player, Fast learner. Looking for שירות לקוחות job.",0
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 31 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7172, Address: Tel Aviv, Search Radius: 18km, Skills: Excel, Python, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",1
"Job Category: עיצוב וקריאייטיב, Company: TechCorp, Salary: 52 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6945, Address: Tel Aviv, Search Radius: 12km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",0
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 74 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6898, Address: Tel Aviv, Search Radius: 30km, Skills: Driving License, SAP, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",1
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 58 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7260, Address: Tel Aviv, Search Radius: 25km, Skills: Driving License, Python, Soft Skills: Team player, Fast learner. Looking for שירות לקוחות job.",0
"Job Category: הפקה ואירועים, Company: TechCorp, Salary: 53 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3193, Address: Tel Aviv, Search Radius: 29km, Skills: English, Driving License, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",0
